mean_f_lambda,n_data,noise_f_lambda,unc_f_lambda,wavelength
1.7743850197446995,5684.0,inf,0.009610763864953862,1296.0
1.8219584725959976,5652.0,inf,0.01330066007291178,1300.0
1.8247069509763851,5654.0,inf,0.012718336887218113,1304.0
1.8129635319574933,5638.0,inf,0.00954369169971685,1308.0
1.760648487403743,5618.0,inf,0.009879744661171173,1312.0
1.7044854804602236,5629.0,inf,0.011320017766643905,1316.0
1.6670971242937362,5625.0,inf,0.010383215807878923,1320.0
1.633334662831657,5604.0,inf,0.009625099116457819,1324.0
1.6363501516259196,5584.0,inf,0.008865411053750796,1328.0
1.6422665427860696,5582.0,inf,0.008970880628717664,1332.0
1.656897344318107,5572.0,inf,0.009334318047841744,1336.0
1.6201608363151305,5559.0,inf,0.009040802921820697,1340.0
1.6207284335658354,5542.0,inf,0.009657060187141842,1344.0
1.5926263233561304,5537.0,inf,0.008995258061657348,1348.0
1.5631976583034501,5520.0,inf,0.008450094934903375,1352.0
1.5671422902866843,5504.0,inf,0.008644904382057323,1356.0
1.5624355441564255,5504.0,inf,0.011716835311017805,1360.0
1.5534724937709472,5489.0,inf,0.01057457287992908,1364.0
1.5552551442392506,5465.0,inf,0.009852610558246258,1368.0
1.5664008357941717,5459.0,inf,0.009582449779821142,1372.0
1.5750586398740958,5448.0,inf,0.010030924216645101,1376.0
